team_name, image_src
Buffalo Bills, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&scale=crop&cquality=40&location=origin&w=80&h=80
Miami Dolphins, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/mia.png&scale=crop&cquality=40&location=origin&w=80&h=80
New England Patriots, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png&scale=crop&cquality=40&location=origin&w=80&h=80
New York Jets, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png&scale=crop&cquality=40&location=origin&w=80&h=80
Baltimore Ravens, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cincinnati Bengals, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cin.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cleveland Browns, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png&scale=crop&cquality=40&location=origin&w=80&h=80
Pittsburgh Steelers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png&scale=crop&cquality=40&location=origin&w=80&h=80
Houston Texans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png&scale=crop&cquality=40&location=origin&w=80&h=80
Indianapolis Colts, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png&scale=crop&cquality=40&location=origin&w=80&h=80
Jacksonville Jaguars, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tennessee Titans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png&scale=crop&cquality=40&location=origin&w=80&h=80
Denver Broncos, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png&scale=crop&cquality=40&location=origin&w=80&h=80
Kansas City Chiefs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png&scale=crop&cquality=40&location=origin&w=80&h=80
Las Vegas Raiders, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lv.png&scale=crop&cquality=40&location=origin&w=80&h=80
Los Angeles Chargers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png&scale=crop&cquality=40&location=origin&w=80&h=80
Dallas Cowboys, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&scale=crop&cquality=40&location=origin&w=80&h=80
New York Giants, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png&scale=crop&cquality=40&location=origin&w=80&h=80
Philadelphia Eagles, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png&scale=crop&cquality=40&location=origin&w=80&h=80
Washington Commanders, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/wsh.png&scale=crop&cquality=40&location=origin&w=80&h=80
Chicago Bears, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png&scale=crop&cquality=40&location=origin&w=80&h=80
Detroit Lions, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png&scale=crop&cquality=40&location=origin&w=80&h=80
Green Bay Packers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png&scale=crop&cquality=40&location=origin&w=80&h=80
Minnesota Vikings, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png&scale=crop&cquality=40&location=origin&w=80&h=80
Atlanta Falcons, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png&scale=crop&cquality=40&location=origin&w=80&h=80
Carolina Panthers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png&scale=crop&cquality=40&location=origin&w=80&h=80
New Orleans Saints, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tampa Bay Buccaneers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png&scale=crop&cquality=40&location=origin&w=80&h=80
Arizona Cardinals, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&scale=crop&cquality=40&location=origin&w=80&h=80
Los Angeles Rams, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lar.png&scale=crop&cquality=40&location=origin&w=80&h=80
San Francisco 49ers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&scale=crop&cquality=40&location=origin&w=80&h=80
Seattle Seahawks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sea.png&scale=crop&cquality=40&location=origin&w=80&h=80
